file	date	species
sample_00001	21.09.2023	Ble
sample_00002	21.09.2023	Ble
sample_00003	21.09.2023	Ble
sample_00004	21.09.2023	Ble
sample_00005	21.09.2023	Ble
sample_00006	21.09.2023	Ble
sample_00007	21.09.2023	Ble
sample_00008	21.09.2023	Ble
sample_00009	21.09.2023	Ble
sample_00010	21.09.2023	Ble
sample_00011	21.09.2023	Ble
sample_00012	21.09.2023	Ble
sample_00013	21.09.2023	Ble
sample_00014	21.09.2023	Ble
sample_00015	21.09.2023	Ble
sample_00016	21.09.2023	Ble
sample_00017	21.09.2023	Ble
sample_00018	21.09.2023	Ble
sample_00019	21.09.2023	Ble
sample_00020	21.09.2023	Ble
sample_00021	21.09.2023	Ble
sample_00022	21.09.2023	Ble
sample_00023	21.09.2023	Ble
sample_00024	21.09.2023	Ble
sample_00025	21.09.2023	Ble
sample_00026	21.09.2023	Ble
sample_00027	21.09.2023	Ble
sample_00028	21.09.2023	Ble
sample_00029	21.09.2023	Ble
sample_00030	21.09.2023	Ble
sample_00031	21.09.2023	Ble
sample_00032	21.09.2023	Ble
sample_00033	21.09.2023	Ble
sample_00034	21.09.2023	Ble
sample_00035	21.09.2023	Ble
sample_00036	21.09.2023	Ble
sample_00037	21.09.2023	Ble
sample_00038	21.09.2023	Ble
sample_00039	21.09.2023	Ble
sample_00040	21.09.2023	Ble
sample_00041	21.09.2023	Ble
sample_00042	21.09.2023	Ble
sample_00043	21.09.2023	Ble
sample_00044	21.09.2023	Cep
sample_00045	21.09.2023	Cep
sample_00046	21.09.2023	Cep
sample_00047	21.09.2023	Cep
sample_00048	21.09.2023	Cep
sample_00049	21.09.2023	Cep
sample_00050	21.09.2023	Col
sample_00051	21.09.2023	Col
sample_00052	21.09.2023	Col
sample_00053	21.09.2023	Eug
sample_00054	21.09.2023	Eug
sample_00055	21.09.2023	Eup
sample_00056	21.09.2023	Eup
sample_00057	21.09.2023	Eup
sample_00058	21.09.2023	Eup
sample_00059	21.09.2023	Eup
sample_00060	21.09.2023	Eup
sample_00061	21.09.2023	Eup
sample_00062	21.09.2023	Eup
sample_00063	21.09.2023	Eup
sample_00064	21.09.2023	Eup
sample_00065	21.09.2023	Eup
sample_00066	21.09.2023	Lox
sample_00067	21.09.2023	Lox
sample_00068	21.09.2023	Lox
sample_00069	21.09.2023	Pau
sample_00070	21.09.2023	Pau
sample_00071	21.09.2023	Pau
sample_00072	21.09.2023	Pau
sample_00073	21.09.2023	Pau
sample_00074	21.09.2023	Pau
sample_00075	21.09.2023	Pca
sample_00076	21.09.2023	Pca
sample_00077	21.09.2023	Pca
sample_00078	21.09.2023	Pca
sample_00079	21.09.2023	Spi
sample_00080	21.09.2023	Spi
sample_00081	21.09.2023	Spi
sample_00082	21.09.2023	Spi
sample_00083	21.09.2023	Spi
sample_00084	21.09.2023	Spi
sample_00085	21.09.2023	Spi
sample_00086	21.09.2023	Spi
sample_00087	21.09.2023	Spi
sample_00088	21.09.2023	Spi
sample_00089	21.09.2023	Spi
sample_00090	21.09.2023	Spi
sample_00091	21.09.2023	Spi
sample_00092	21.09.2023	Spi
sample_00093	21.09.2023	Spi
sample_00094	21.09.2023	Spi
sample_00095	21.09.2023	Spi
sample_00096	21.09.2023	Spi
sample_00097	21.09.2023	Spi
sample_00098	21.09.2023	Spi
sample_00099	21.09.2023	Spi
sample_00100	21.09.2023	Spi
sample_00101	21.09.2023	Spi
sample_00102	21.09.2023	Spi
sample_00103	21.09.2023	Spi
sample_00104	21.09.2023	Spi
sample_00105	21.09.2023	Spi
sample_00106	21.09.2023	Spi
sample_00107	21.09.2023	Spi
sample_00108	21.09.2023	Spi
sample_00109	21.09.2023	Spi
sample_00110	21.09.2023	Spi
sample_00111	21.09.2023	Spi
sample_00112	21.09.2023	Spi
sample_00113	21.09.2023	Spi te
sample_00114	21.09.2023	Spi te
sample_00115	21.09.2023	Spi te
sample_00116	21.09.2023	Spi te
sample_00117	21.09.2023	Spi te
sample_00118	21.09.2023	Spi te
sample_00119	21.09.2023	Spi te
sample_00120	21.09.2023	Spi te
sample_00121	21.09.2023	Spi te
sample_00122	21.09.2023	Spi te
sample_00123	21.09.2023	Tet
sample_00124	21.09.2023	Tet
